ID,question,choice_a,choice_b,choice_c,answer,coding_language,category,method
259,Which of the following is true about labeled break and continue statements in Java?,null,null,null,They allow you to specify which loop to break or continue in nested loops.,Java,control flow,flash card
260,What is the main difference between the if statement and the switch statement in Java?,null,null,null,"The switch statement evaluates a variable against a list of possible values, while the if statement allows more complex conditions.",Java,control flow,flash card
261,Which data structure in Java is typically used to implement a Last-In-First-Out (LIFO) behavior?,null,null,null,Stack,Java,declaration,flash card
262,What is the correct way to declare and initialize an integer variable in Java?,null,null,null,int x = 5;,Java,declaration,flash card
263,How do you declare an empty array of integers in Java?,null,null,null,int[] arr;,Java,declaration,flash card
264,What is the correct way to declare a generic ArrayList that stores strings in Java?,null,null,null,ArrayList<String> list = new ArrayList<String>();,Java,declaration,flash card
265,"To declare a constant variable in Java, you should use the keyword:",null,null,null,final,Java,declaration,flash card
266,How would you declare a two-dimensional array of integers in Java with dimensions 3x4?,null,null,null,int[][] matrix = new int[3][4];,Java,declaration,flash card
267,Which keyword is used to declare a class in Java?,null,null,null,class,Java,declaration,flash card
268,"To declare and initialize a constant string in Java, you would use the keyword:",null,null,null,final,Java,declaration,flash card
269,What is the correct way to declare and initialize a double variable with the value 3.14 in Java?,null,null,null,double pi = 3.14;,Java,declaration,flash card
270,How do you declare an empty HashSet of integers in Java?,null,null,null,HashSet<Integer> set = new HashSet<Integer>();,Java,declaration,flash card
271,"To declare a constant float in Java, you should use the keyword:",null,null,null,final,Java,declaration,flash card
272,Which keyword is used to declare an interface in Java?,null,null,null,interface,Java,declaration,flash card
273,How do you declare and initialize a constant long in Java?,null,null,null,const long num = 42L;,Java,declaration,flash card
274,"To declare an empty TreeMap that maps strings to integers in Java, you would use:",null,null,null,"TreeMap<String, Integer> map;",Java,declaration,flash card
275,What is the correct way to declare a constant character in Java?,null,null,null,final char letter;,Java,declaration,flash card
276,How do you declare an empty array list of strings in Java?,null,null,null,ArrayList<String> list = new ArrayList();,Java,declaration,flash card
277,What is the correct way to declare a double array in Java?,null,null,null,double[] arr = new double[10];,Java,declaration,flash card
278,How do you declare an empty linked list of integers in Java?,null,null,null,LinkedList list = new LinkedList<Integer>();,Java,declaration,flash card
279,"To declare a constant byte in Java, you should use the keyword:",null,null,null,final,Java,declaration,flash card
280,What is the correct way to declare an array of strings in Java with initial values?,null,null,null,"String[] names = {""Alice"", ""Bob"", ""Charlie""};",Java,declaration,flash card
281,What is the correct way to initialize an array of integers in Java?,null,null,null, int[] arr = new int[10];,Java,data structures,flash card
282,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,null,null,null,Queue,Java,data structures,flash card
283,"To add an element to the end of an ArrayList in Java, you would use:",null,null,null,add(),Java,data structures,flash card
284,What is the time complexity of adding an element to the end of an ArrayList in Java?,null,null,null,O(1),Java,data structures,flash card
285,"In a binary search tree, which type of traversal visits the nodes in ascending order?",null,null,null,In-order,Java,data structures,flash card
286,What is the correct way to remove an element at a specific index from an ArrayList in Java?,null,null,null,arr.remove(index);,Java,data structures,flash card
287,Which data structure in Java is implemented as a resizable array?,null,null,null,ArrayList,Java,data structures,flash card
288,What is the data structure in Java that can be used to represent a hierarchical structure with parent-child relationships?,null,null,null,Tree,Java,data structures,flash card
289,"To search for an element in a binary search tree, what is the time complexity in the average case?",null,null,null,O(log N),Java,data structures,flash card
290,"What data structure is used to represent a graph in Java, where each node can have multiple connections to other nodes?",null,null,null,LinkedList,Java,data structures,flash card
291,"To find the number of elements in a LinkedList in Java, you would use which method?",null,null,null,size(),Java,data structures,flash card
292,"To find the number of elements in a LinkedList in Java, you would use which method?",null,null,null,size(),Java,data structures,flash card
293,What is the time complexity of searching for an element in an ArrayList in Java using the contains method?,null,null,null,O(N),Java,data structures,flash card
294,"In a linked list, which operation allows you to insert a new element at the beginning efficiently?",null,null,null,insertFirst(),Java,data structures,flash card
295,"Which data structure in Java is used to store key-value pairs, allowing for fast retrieval of values based on their associated keys?",null,null,null,HashMap,Java,data structures,flash card
296,"To remove the last element from a LinkedList in Java, you would use which method?",null,null,null,removeLast(),Java,data structures,flash card
297,What data structure in Java is used to ensure that elements are stored in sorted order?,null,null,null,TreeSet,Java,data structures,flash card
298,What is the time complexity of adding an element to the beginning of an ArrayList in Java?,null,null,null,O(N),Java,data structures,flash card
299,"Which data structure in Java is used to represent a collection of unique elements, and it does not allow duplicate values?",null,null,null,HashSet,Java,data structures,flash card
300,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,null,null,null,Queue,Java,data structures,flash card
301,"What is the output of the following code snippet?
int i = 0;
while (i < 5) {
    System.out.print(i);
    i++;
}",01234,54321,012345,A,Java,control flow,multiple choice
302,"In Java, which loop is suitable for situations where the loop body needs to execute at least once?",for loop,while loop,do-while loop,C,Java,control flow,multiple choice
303,What is the primary purpose of the break statement in Java?,To terminate the program,To exit the current loop or switch statement,To skip the current iteration of a loop,B,Java,control flow,multiple choice
304,"When a variable is declared inside a method, in what scope is it accessible?",Class scope,Global scope,Method scope,C,Java,control flow,multiple choice
305,Which of the following statements is true about recursion in Java?,Recursion is always more efficient than iterative solutions.,Recursion can lead to a stack overflow if not handled properly.,Recursion cannot be used in Java; only iteration is allowed.,B,Java,control flow,multiple choice
306,"What is the output of the following code snippet?
for (int i = 0; i < 5; i++) {
    if (i % 2 == 0) {
        continue;
    }
    System.out.print(i);
}",13,024,135,A,Java,control flow,multiple choice
307,"In Java, which statement is used to define a constant variable?",const,final,static,B,Java,control flow,multiple choice
308,What is the purpose of the default case in a Java switch statement?,It specifies the case that is executed first.,It defines the default value of the variable being switched.,It is executed when none of the cases match.,C,Java,control flow,multiple choice
309,What does the this keyword refer to in Java?,The current class instance,The next class in the inheritance hierarchy,The superclass of the current class,A,Java,control flow,multiple choice
310,Which loop construct is used for iterating over elements in an array or collection in Java?,for-each loop,while loop,do-while loop,A,Java,control flow,multiple choice
311,What is the main difference between the while loop and the do-while loop in Java?,The do-while loop always executes its body at least once.,The while loop is used for infinite loops.,The do-while loop is deprecated and should not be used.,A,Java,control flow,multiple choice
312,What is the scope of a local variable declared inside a for loop in Java?,Class scope,Global scope,Block scope,C,Java,control flow,multiple choice
313,"In Java, what is the purpose of the continue statement within a loop?",To exit the loop completely,To skip the current iteration and continue with the next,To terminate the program,B,Java,control flow,multiple choice
314,Which keyword is used to exit from a loop prematurely in Java?,exit,break,return,B,Java,control flow,multiple choice
315,"In a Java for loop, what are the three components usually separated by semicolons?","Initialization, condition, increment","Condition, body, increment","Initialization, condition, body",A,Java,control flow,multiple choice
316,Which of the following is true about the switch statement in Java?,It can only be used to compare integers.,The order of cases doesn't matter.,Each case block requires a break statement.,C,Java,control flow,multiple choice
317,What does the void keyword represent in Java?,It indicates a variable's type.,It represents an empty string.,It indicates a method returns nothing.,C,Java,control flow,multiple choice
318,"In Java, what is the primary role of the else keyword in an if-else statement?",To specify a condition that must be met.,To define an alternative set of actions if the if condition is false.,To terminate the program.,B,Java,control flow,multiple choice
319,Which of the following is true about labeled break and continue statements in Java?,They are commonly used in Java programs.,They can only be used in switch statements.,They allow you to specify which loop to break or continue in nested loops.,C,Java,control flow,multiple choice
320,What is the main difference between the if statement and the switch statement in Java?,"The if statement allows complex comparisons, while the switch statement doesn't.","The switch statement can be used for logical comparisons, while the if statement cannot.","The switch statement evaluates a variable against a list of possible values, while the if statement allows more complex conditions.",C,Java,control flow,multiple choice
321,Which data structure in Java is typically used to implement a Last-In-First-Out (LIFO) behavior?,LinkedList,Queue,Stack,C,Java,declaration,multiple choice
322,What is the correct way to declare and initialize an integer variable in Java?,int x;,integer x;,int x = 5;,C,Java,declaration,multiple choice
323,How do you declare an empty array of integers in Java?,int[] arr;,int arr[];,array<int> arr = {};,A,Java,declaration,multiple choice
324,What is the correct way to declare a generic ArrayList that stores strings in Java?,ArrayList list = new ArrayList();,ArrayList<String> list = new ArrayList<String>();,ArrayList list = new ArrayList<String>();,B,Java,declaration,multiple choice
325,"To declare a constant variable in Java, you should use the keyword:",static,final,constant,B,Java,declaration,multiple choice
326,How would you declare a two-dimensional array of integers in Java with dimensions 3x4?,"int[][] matrix = new int[3, 4];",int[3][4] matrix;,int[][] matrix = new int[3][4];,C,Java,declaration,multiple choice
327,Which keyword is used to declare a class in Java?,new,class,declare,B,Java,declaration,multiple choice
328,"To declare and initialize a constant string in Java, you would use the keyword:",final,static,constant,A,Java,declaration,multiple choice
329,What is the correct way to declare and initialize a double variable with the value 3.14 in Java?,double pi = 3.14;,double pi;,pi = 3.14;,A,Java,declaration,multiple choice
330,How do you declare an empty HashSet of integers in Java?,Set<Integer> set = new HashSet<Integer>();,HashSet<Integer> set = new HashSet<Integer>();,HashSet set = new HashSet<Integer>();,B,Java,declaration,multiple choice
331,"To declare a constant float in Java, you should use the keyword:",constant,final,static,B,Java,declaration,multiple choice
332,Which keyword is used to declare an interface in Java?,class,interface,implement,B,Java,declaration,multiple choice
333,How do you declare and initialize a constant long in Java?,const long num = 42L;,final long num;,static long num = 42L;,A,Java,declaration,multiple choice
334,"To declare an empty TreeMap that maps strings to integers in Java, you would use:","TreeMap<String, Integer> map = new TreeMap();","TreeMap map = new TreeMap<String, Integer>();","TreeMap<String, Integer> map;",C,Java,declaration,multiple choice
335,What is the correct way to declare a constant character in Java?,const char letter = 'A';,final char letter;,static char letter = 'A';,B,Java,declaration,multiple choice
336,How do you declare an empty array list of strings in Java?,ArrayList<String> list = new ArrayList<String>;,ArrayList<String> list = new ArrayList();,ArrayList list = new ArrayList();,B,Java,declaration,multiple choice
337,What is the correct way to declare a double array in Java?,double[] arr = new double[];,double[] arr = new double[10];,double[10] arr = new double[10];,B,Java,declaration,multiple choice
338,How do you declare an empty linked list of integers in Java?,LinkedList list = new LinkedList<int>();,LinkedList<Integer> list = new LinkedList();,LinkedList list = new LinkedList<Integer>();,C,Java,declaration,multiple choice
339,"To declare a constant byte in Java, you should use the keyword:",final,static,constant,A,Java,declaration,multiple choice
340,What is the correct way to declare an array of strings in Java with initial values?,String[] names = new String[];,"String names[] = new String[]{""Alice"", ""Bob"", ""Charlie""};","String[] names = {""Alice"", ""Bob"", ""Charlie""};",C,Java,declaration,multiple choice
341,What is the correct way to initialize an array of integers in Java?,int[] arr = new int[];, int[] arr = new int[10];,"int arr[] = {1, 2, 3};",B,Java,data structures,multiple choice
342,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,Stack,LinkedList,Queue,C,Java,data structures,multiple choice
343,"To add an element to the end of an ArrayList in Java, you would use:",addFirst(),append(),add(),C,Java,data structures,multiple choice
344,What is the time complexity of adding an element to the end of an ArrayList in Java?,O(1),O(log N),O(N),A,Java,data structures,multiple choice
345,"In a binary search tree, which type of traversal visits the nodes in ascending order?",In-order,Pre-order,Post-order,A,Java,data structures,multiple choice
346,What is the correct way to remove an element at a specific index from an ArrayList in Java?,arr.delete(index);,arr.remove(index);,arr.removeElement(index);,B,Java,data structures,multiple choice
347,Which data structure in Java is implemented as a resizable array?,LinkedList,Stack,ArrayList,C,Java,data structures,multiple choice
348,What is the data structure in Java that can be used to represent a hierarchical structure with parent-child relationships?,Stack,Queue,Tree,C,Java,data structures,multiple choice
349,"To search for an element in a binary search tree, what is the time complexity in the average case?",O(1),O(log N),O(N),B,Java,data structures,multiple choice
350,"What data structure is used to represent a graph in Java, where each node can have multiple connections to other nodes?",BinaryTree,ArrayList,LinkedList,C,Java,data structures,multiple choice
351,"To find the number of elements in a LinkedList in Java, you would use which method?",size(),length(),getSize(),A,Java,data structures,multiple choice
352,"To find the number of elements in a LinkedList in Java, you would use which method?",size(),length(),count(),A,Java,data structures,multiple choice
353,What is the time complexity of searching for an element in an ArrayList in Java using the contains method?,O(1),O(log N),O(N),C,Java,data structures,multiple choice
354,"In a linked list, which operation allows you to insert a new element at the beginning efficiently?",append(),insertFirst(),addToEnd(),B,Java,data structures,multiple choice
355,"Which data structure in Java is used to store key-value pairs, allowing for fast retrieval of values based on their associated keys?",ArrayList,HashSet,HashMap,C,Java,data structures,multiple choice
356,"To remove the last element from a LinkedList in Java, you would use which method?",removeLast(),pop(),remove(),A,Java,data structures,multiple choice
357,What data structure in Java is used to ensure that elements are stored in sorted order?,HashSet,TreeSet,PriorityQueue,B,Java,data structures,multiple choice
358,What is the time complexity of adding an element to the beginning of an ArrayList in Java?,O(1),O(log N),O(N),C,Java,data structures,multiple choice
359,"Which data structure in Java is used to represent a collection of unique elements, and it does not allow duplicate values?",ArrayList,LinkedList,HashSet,C,Java,data structures,multiple choice
360,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,LinkedList,Stack,Queue,C,Java,data structures,multiple choice
361,"What is the output of the following code snippet?
int i = 0;
while (i < 5) {
    System.out.print(i);
    i++;
}",null,null,null,01234,Java,control flow,fill in the blank
362,"In Java, which loop is suitable for situations where the loop body needs to execute at least once?",null,null,null,do-while loop,Java,control flow,fill in the blank
363,What is the primary purpose of the break statement in Java?,null,null,null,To exit the current loop or switch statement,Java,control flow,fill in the blank
364,"When a variable is declared inside a method, in what scope is it accessible?",null,null,null,Method scope,Java,control flow,fill in the blank
365,Which of the following statements is true about recursion in Java?,null,null,null,Recursion can lead to a stack overflow if not handled properly.,Java,control flow,fill in the blank
366,"What is the output of the following code snippet?
for (int i = 0; i < 5; i++) {
    if (i % 2 == 0) {
        continue;
    }
    System.out.print(i);
}",null,null,null,135,Java,control flow,fill in the blank
367,"In Java, which statement is used to define a constant variable?",null,null,null,final,Java,control flow,fill in the blank
368,What is the purpose of the default case in a Java switch statement?,null,null,null,It is executed when none of the cases match.,Java,control flow,fill in the blank
369,What does the this keyword refer to in Java?,null,null,null,The current class instance,Java,control flow,fill in the blank
370,Which loop construct is used for iterating over elements in an array or collection in Java?,null,null,null,for-each loop,Java,control flow,fill in the blank
371,What is the main difference between the while loop and the do-while loop in Java?,null,null,null,The do-while loop always executes its body at least once.,Java,control flow,fill in the blank
372,What is the scope of a local variable declared inside a for loop in Java?,null,null,null,Block scope,Java,control flow,fill in the blank
373,"In Java, what is the purpose of the continue statement within a loop?",null,null,null,To skip the current iteration and continue with the next,Java,control flow,fill in the blank
374,Which keyword is used to exit from a loop prematurely in Java?,null,null,null,break,Java,control flow,fill in the blank
375,"In a Java for loop, what are the three components usually separated by semicolons?",null,null,null,"Initialization, condition, increment",Java,control flow,fill in the blank
376,Which of the following is true about the switch statement in Java?,null,null,null,Each case block requires a break statement.,Java,control flow,fill in the blank
377,What does the void keyword represent in Java?,null,null,null,It indicates a method returns nothing.,Java,control flow,fill in the blank
378,"In Java, what is the primary role of the else keyword in an if-else statement?",null,null,null,To define an alternative set of actions if the if condition is false.,Java,control flow,fill in the blank
379,Which of the following is true about labeled break and continue statements in Java?,null,null,null,They allow you to specify which loop to break or continue in nested loops.,Java,control flow,fill in the blank
380,What is the main difference between the if statement and the switch statement in Java?,null,null,null,"The switch statement evaluates a variable against a list of possible values, while the if statement allows more complex conditions.",Java,control flow,fill in the blank
381,Which data structure in Java is typically used to implement a Last-In-First-Out (LIFO) behavior?,null,null,null,Stack,Java,declaration,fill in the blank
382,What is the correct way to declare and initialize an integer variable in Java?,null,null,null,int x = 5;,Java,declaration,fill in the blank
383,How do you declare an empty array of integers in Java?,null,null,null,int[] arr;,Java,declaration,fill in the blank
384,What is the correct way to declare a generic ArrayList that stores strings in Java?,null,null,null,ArrayList<String> list = new ArrayList<String>();,Java,declaration,fill in the blank
385,"To declare a constant variable in Java, you should use the keyword:",null,null,null,final,Java,declaration,fill in the blank
386,How would you declare a two-dimensional array of integers in Java with dimensions 3x4?,null,null,null,int[][] matrix = new int[3][4];,Java,declaration,fill in the blank
387,Which keyword is used to declare a class in Java?,null,null,null,class,Java,declaration,fill in the blank
388,"To declare and initialize a constant string in Java, you would use the keyword:",null,null,null,final,Java,declaration,fill in the blank
389,What is the correct way to declare and initialize a double variable with the value 3.14 in Java?,null,null,null,double pi = 3.14;,Java,declaration,fill in the blank
390,How do you declare an empty HashSet of integers in Java?,null,null,null,HashSet<Integer> set = new HashSet<Integer>();,Java,declaration,fill in the blank
391,"To declare a constant float in Java, you should use the keyword:",null,null,null,final,Java,declaration,fill in the blank
392,Which keyword is used to declare an interface in Java?,null,null,null,interface,Java,declaration,fill in the blank
393,How do you declare and initialize a constant long in Java?,null,null,null,const long num = 42L;,Java,declaration,fill in the blank
394,"To declare an empty TreeMap that maps strings to integers in Java, you would use:",null,null,null,"TreeMap<String, Integer> map;",Java,declaration,fill in the blank
395,What is the correct way to declare a constant character in Java?,null,null,null,final char letter;,Java,declaration,fill in the blank
396,How do you declare an empty array list of strings in Java?,null,null,null,ArrayList<String> list = new ArrayList();,Java,declaration,fill in the blank
397,What is the correct way to declare a double array in Java?,null,null,null,double[] arr = new double[10];,Java,declaration,fill in the blank
398,How do you declare an empty linked list of integers in Java?,null,null,null,LinkedList list = new LinkedList<Integer>();,Java,declaration,fill in the blank
399,"To declare a constant byte in Java, you should use the keyword:",null,null,null,final,Java,declaration,fill in the blank
400,What is the correct way to declare an array of strings in Java with initial values?,null,null,null,"String[] names = {""Alice"", ""Bob"", ""Charlie""};",Java,declaration,fill in the blank
401,What is the correct way to initialize an array of integers in Java?,null,null,null, int[] arr = new int[10];,Java,data structures,fill in the blank
402,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,null,null,null,Queue,Java,data structures,fill in the blank
403,"To add an element to the end of an ArrayList in Java, you would use:",null,null,null,add(),Java,data structures,fill in the blank
404,What is the time complexity of adding an element to the end of an ArrayList in Java?,null,null,null,O(1),Java,data structures,fill in the blank
405,"In a binary search tree, which type of traversal visits the nodes in ascending order?",null,null,null,In-order,Java,data structures,fill in the blank
406,What is the correct way to remove an element at a specific index from an ArrayList in Java?,null,null,null,arr.remove(index);,Java,data structures,fill in the blank
407,Which data structure in Java is implemented as a resizable array?,null,null,null,ArrayList,Java,data structures,fill in the blank
408,What is the data structure in Java that can be used to represent a hierarchical structure with parent-child relationships?,null,null,null,Tree,Java,data structures,fill in the blank
409,"To search for an element in a binary search tree, what is the time complexity in the average case?",null,null,null,O(log N),Java,data structures,fill in the blank
410,"What data structure is used to represent a graph in Java, where each node can have multiple connections to other nodes?",null,null,null,LinkedList,Java,data structures,fill in the blank
411,"To find the number of elements in a LinkedList in Java, you would use which method?",null,null,null,size(),Java,data structures,fill in the blank
412,"To find the number of elements in a LinkedList in Java, you would use which method?",null,null,null,size(),Java,data structures,fill in the blank
413,What is the time complexity of searching for an element in an ArrayList in Java using the contains method?,null,null,null,O(N),Java,data structures,fill in the blank
414,"In a linked list, which operation allows you to insert a new element at the beginning efficiently?",null,null,null,insertFirst(),Java,data structures,fill in the blank
415,"Which data structure in Java is used to store key-value pairs, allowing for fast retrieval of values based on their associated keys?",null,null,null,HashMap,Java,data structures,fill in the blank
416,"To remove the last element from a LinkedList in Java, you would use which method?",null,null,null,removeLast(),Java,data structures,fill in the blank
417,What data structure in Java is used to ensure that elements are stored in sorted order?,null,null,null,TreeSet,Java,data structures,fill in the blank
418,What is the time complexity of adding an element to the beginning of an ArrayList in Java?,null,null,null,O(N),Java,data structures,fill in the blank
419,"Which data structure in Java is used to represent a collection of unique elements, and it does not allow duplicate values?",null,null,null,HashSet,Java,data structures,fill in the blank
420,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,null,null,null,Queue,Java,data structures,fill in the blank
421,"What is the output of the following code snippet?
int i = 0;
while (i < 5) {
    System.out.print(i);
    i++;
}",01234,null,null,TRUE,Java,control flow,truefalse
422,"In Java, which loop is suitable for situations where the loop body needs to execute at least once?",do-while loop,null,null,TRUE,Java,control flow,truefalse
423,What is the primary purpose of the break statement in Java?,To exit the current loop or switch statement,null,null,TRUE,Java,control flow,truefalse
424,"When a variable is declared inside a method, in what scope is it accessible?",Method scope,null,null,TRUE,Java,control flow,truefalse
425,Which of the following statements is true about recursion in Java?,Recursion can lead to a stack overflow if not handled properly.,null,null,TRUE,Java,control flow,truefalse
426,"What is the output of the following code snippet?
for (int i = 0; i < 5; i++) {
    if (i % 2 == 0) {
        continue;
    }
    System.out.print(i);
}",13,null,null,TRUE,Java,control flow,truefalse
427,"In Java, which statement is used to define a constant variable?",final,null,null,TRUE,Java,control flow,truefalse
428,What is the purpose of the default case in a Java switch statement?,It is executed when none of the cases match.,null,null,TRUE,Java,control flow,truefalse
429,What does the this keyword refer to in Java?,The current class instance,null,null,TRUE,Java,control flow,truefalse
430,Which loop construct is used for iterating over elements in an array or collection in Java?,for-each loop,null,null,TRUE,Java,control flow,truefalse
431,"What is the output of the following code snippet?
int i = 0;
while (i < 5) {
    System.out.print(i);
    i++;
}",012345,null,null,FALSE,Java,control flow,truefalse
432,"In Java, which loop is suitable for situations where the loop body needs to execute at least once?",for loop,null,null,FALSE,Java,control flow,truefalse
433,What is the primary purpose of the break statement in Java?,To terminate the program,null,null,FALSE,Java,control flow,truefalse
434,"When a variable is declared inside a method, in what scope is it accessible?",Class scope,null,null,FALSE,Java,control flow,truefalse
435,Which of the following statements is true about recursion in Java?,Recursion is always more efficient than iterative solutions.,null,null,FALSE,Java,control flow,truefalse
436,"What is the output of the following code snippet?
for (int i = 0; i < 5; i++) {
    if (i % 2 == 0) {
        continue;
    }
    System.out.print(i);
}",135,null,null,FALSE,Java,control flow,truefalse
437,"In Java, which statement is used to define a constant variable?",const,null,null,FALSE,Java,control flow,truefalse
438,What is the purpose of the default case in a Java switch statement?,It specifies the case that is executed first.,null,null,FALSE,Java,control flow,truefalse
439,What does the this keyword refer to in Java?,The superclass of the current class,null,null,FALSE,Java,control flow,truefalse
440,Which loop construct is used for iterating over elements in an array or collection in Java?,do-while loop,null,null,FALSE,Java,control flow,truefalse
441,Which data structure in Java is typically used to implement a Last-In-First-Out (LIFO) behavior?,Stack,null,null,TRUE,Java,declaration,truefalse
442,What is the correct way to declare and initialize an integer variable in Java?,int x = 5;,null,null,TRUE,Java,declaration,truefalse
443,How do you declare an empty array of integers in Java?,int[] arr;,null,null,TRUE,Java,declaration,truefalse
444,What is the correct way to declare a generic ArrayList that stores strings in Java?,ArrayList<String> list = new ArrayList<String>();,null,null,TRUE,Java,declaration,truefalse
445,"To declare a constant variable in Java, you should use the keyword:",final,null,null,TRUE,Java,declaration,truefalse
446,How would you declare a two-dimensional array of integers in Java with dimensions 3x4?,int[][] matrix = new int[3][4];,null,null,TRUE,Java,declaration,truefalse
447,Which keyword is used to declare a class in Java?,class,null,null,TRUE,Java,declaration,truefalse
448,"To declare and initialize a constant string in Java, you would use the keyword:",final,null,null,TRUE,Java,declaration,truefalse
449,What is the correct way to declare and initialize a double variable with the value 3.14 in Java?,double pi = 3.14;,null,null,TRUE,Java,declaration,truefalse
450,How do you declare an empty HashSet of integers in Java?,HashSet<Integer> set = new HashSet<Integer>();,null,null,TRUE,Java,declaration,truefalse
451,Which data structure in Java is typically used to implement a Last-In-First-Out (LIFO) behavior?,LinkedList,null,null,FALSE,Java,declaration,truefalse
452,What is the correct way to declare and initialize an integer variable in Java?,int x;,null,null,FALSE,Java,declaration,truefalse
453,How do you declare an empty array of integers in Java?,array<int> arr = {};,null,null,FALSE,Java,declaration,truefalse
454,What is the correct way to declare a generic ArrayList that stores strings in Java?,ArrayList list = new ArrayList();,null,null,FALSE,Java,declaration,truefalse
455,"To declare a constant variable in Java, you should use the keyword:",static,null,null,FALSE,Java,declaration,truefalse
456,How would you declare a two-dimensional array of integers in Java with dimensions 3x4?,"int[][] matrix = new int[3, 4];",null,null,FALSE,Java,declaration,truefalse
457,Which keyword is used to declare a class in Java?,new,null,null,FALSE,Java,declaration,truefalse
458,"To declare and initialize a constant string in Java, you would use the keyword:",constant,null,null,FALSE,Java,declaration,truefalse
459,What is the correct way to declare and initialize a double variable with the value 3.14 in Java?,pi = 3.14;,null,null,FALSE,Java,declaration,truefalse
460,How do you declare an empty HashSet of integers in Java?,Set<Integer> set = new HashSet<Integer>();,null,null,FALSE,Java,declaration,truefalse
461,What is the correct way to initialize an array of integers in Java?, int[] arr = new int[10];,null,null,TRUE,Java,data structures,truefalse
462,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,Queue,null,null,TRUE,Java,data structures,truefalse
463,"To add an element to the end of an ArrayList in Java, you would use:",add(),null,null,TRUE,Java,data structures,truefalse
464,What is the time complexity of adding an element to the end of an ArrayList in Java?,O(1),null,null,TRUE,Java,data structures,truefalse
465,"In a binary search tree, which type of traversal visits the nodes in ascending order?",In-order,null,null,TRUE,Java,data structures,truefalse
466,What is the correct way to remove an element at a specific index from an ArrayList in Java?,arr.remove(index);,null,null,TRUE,Java,data structures,truefalse
467,Which data structure in Java is implemented as a resizable array?,ArrayList,null,null,TRUE,Java,data structures,truefalse
468,What is the data structure in Java that can be used to represent a hierarchical structure with parent-child relationships?,Tree,null,null,TRUE,Java,data structures,truefalse
469,"To search for an element in a binary search tree, what is the time complexity in the average case?",O(log N),null,null,TRUE,Java,data structures,truefalse
470,"What data structure is used to represent a graph in Java, where each node can have multiple connections to other nodes?",LinkedList,null,null,TRUE,Java,data structures,truefalse
471,What is the correct way to initialize an array of integers in Java?,int[] arr = new int[];,null,null,FALSE,Java,data structures,truefalse
472,Which data structure in Java is typically used to implement a First-In-First-Out (FIFO) behavior?,Stack,null,null,FALSE,Java,data structures,truefalse
473,"To add an element to the end of an ArrayList in Java, you would use:",addFirst(),null,null,FALSE,Java,data structures,truefalse
474,What is the time complexity of adding an element to the end of an ArrayList in Java?,O(N),null,null,FALSE,Java,data structures,truefalse
475,"In a binary search tree, which type of traversal visits the nodes in ascending order?",Post-order,null,null,FALSE,Java,data structures,truefalse
476,What is the correct way to remove an element at a specific index from an ArrayList in Java?,arr.delete(index);,null,null,FALSE,Java,data structures,truefalse
477,Which data structure in Java is implemented as a resizable array?,LinkedList,null,null,FALSE,Java,data structures,truefalse
478,What is the data structure in Java that can be used to represent a hierarchical structure with parent-child relationships?,Stack,null,null,FALSE,Java,data structures,truefalse
479,"To search for an element in a binary search tree, what is the time complexity in the average case?",O(1),null,null,FALSE,Java,data structures,truefalse
480,"What data structure is used to represent a graph in Java, where each node can have multiple connections to other nodes?",BinaryTree,null,null,FALSE,Java,data structures,truefalse
481,Which of the following keywords is used to define a loop in Ruby?,loop,while,execute,B,Ruby,control flow,multiple choice
482,What does the break keyword do in a loop in Ruby?,Continues to the next iteration of the loop.,Exits the loop prematurely.,Restarts the loop from the beginning.,B,Ruby,control flow,multiple choice
483,"In Ruby, which keyword is used to define a conditional branch?",check,if,switch,B,Ruby,control flow,multiple choice
484,What is the purpose of the else clause in an if statement in Ruby?,To execute a block of code if the condition is true.,To handle exceptions.,To execute a block of code if the condition is false.,C,Ruby,control flow,multiple choice
485,"In Ruby, what is the scope of a local variable defined inside a block or method?",Global scope,Class scope,Block or method scope,C,Ruby,control flow,multiple choice
486,Which of the following loops in Ruby will always execute at least once?,while,for,until,C,Ruby,control flow,multiple choice
487,What is the purpose of the next keyword in a loop in Ruby?,Ends the loop.,Skips the current iteration and continues with the next.,Restarts the loop from the beginning.,B,Ruby,control flow,multiple choice
488,"In Ruby, what does the elsif keyword allow you to do in an if statement?",Combine multiple conditions in a single if statement.,Define an else block.,Define a new if statement within another if statement.,A,Ruby,control flow,multiple choice
489,Which keyword is used to define a method in Ruby?,define,func,def,C,Ruby,control flow,multiple choice
490,What does the case keyword allow you to do in Ruby?,Define a class.,Create a switch statement for multiple conditional branches.,Write a comment.,B,Ruby,control flow,multiple choice
491,"In Ruby, which loop is used to iterate over a collection of elements like an array or a range?",repeat,for,each,C,Ruby,control flow,multiple choice
492,What does the unless keyword do in Ruby?,It reverses the meaning of an if condition.,It defines a block of code that always executes.,It is used to declare a class.,A,Ruby,control flow,multiple choice
